organism	bioproject	count	manual_cur
metagenome	PRJEB52722	74	
metagenome	PRJNA991155	74	
gut metagenome	PRJNA925857	73	human
feces metagenome	PRJNA484080	73	pig-associated
gut metagenome	PRJNA1076911	73	
gut metagenome	PRJNA727667	71	
metagenome	PRJEB33756	71	
metagenome	PRJNA532645	70	
manure metagenome	PRJNA390250	70	
gut metagenome	PRJNA379884	70	
feces metagenome	PRJNA637365	69	human
gut metagenome	PRJNA723432	69	human
gut metagenome	PRJNA386502	69	
metagenome	PRJEB14038	69	
gut metagenome	PRJNA987743	69	
gut metagenome	PRJNA702231	68	
metagenome	PRJNA693652	68	
metagenome	PRJNA492489	66	pig
feces metagenome	PRJNA673918	65	human
metagenome	PRJNA793774	65	human
gut metagenome	PRJNA733006	65	other
feces metagenome	PRJNA691978	64	pig/other
feces metagenome	PRJNA544874	64	
gut metagenome	PRJNA300602	63	
metagenome	PRJNA478719	63	
gut metagenome	PRJNA658422	62	
feces metagenome	PRJNA511899	61	human
gut metagenome	PRJEB23147	61	
gut metagenome	PRJNA526822	61	
manure metagenome	PRJNA633399	60	pig
manure metagenome	PRJNA633402	60	pig
gut metagenome	PRJNA898082	60	
metagenome	PRJNA1104421	60	
metagenome	PRJNA784525	59	pig
metagenome	PRJNA1102991	58	
gut metagenome	PRJNA824338	57	
gut metagenome	PRJNA947933	56	human
gut metagenome	PRJNA602101	56	
feces metagenome	PRJNA741607	56	
gut metagenome	PRJEB31742	55	other
metagenome	PRJNA687411	54	
gut metagenome	PRJNA524271	54	
gut metagenome	PRJNA750475	54	
metagenome	PRJEB21166	54	
metagenome	PRJNA786485	54	
gut metagenome	PRJNA831236	52	
gut metagenome	PRJNA723218	50	other
metagenome	PRJNA1118426	50	pig
gut metagenome	PRJNA691978	50	pig/other
gut metagenome	PRJNA1036590	50	
gut metagenome	PRJNA754019	49	
gut metagenome	PRJNA929645	49	
gut metagenome	PRJNA657455	48	human
gut metagenome	PRJEB18687	48	
gut metagenome	PRJNA1035987	48	
metagenome	PRJEB12083	48	
gut metagenome	PRJNA822406	47	
metagenome	PRJNA646752	47	
gut metagenome	PRJEB13595	46	
metagenome	PRJNA875377	46	
gut metagenome	PRJNA667550	45	
metagenome	PRJNA1177354	45	
metagenome	PRJNA932130	45	
gut metagenome	PRJNA642723	45	
metagenome	PRJNA1085219	44	
gut metagenome	PRJNA799478	44	
gut metagenome	PRJEB29323	44	
gut metagenome	PRJNA941376	43	
metagenome	PRJEB66265	43	
gut metagenome	PRJNA1130109	43	
metagenome	PRJEB33675	43	
gut metagenome	PRJNA866654	42	
metagenome	PRJEB6542	42	
metagenome	PRJNA675502	42	
gut metagenome	PRJNA955235	41	
feces metagenome	PRJNA613182	41	
gut metagenome	PRJNA518912	41	
metagenome	PRJNA1113194	41	
gut metagenome	PRJEB12669	41	
feces metagenome	PRJNA1070846	41	
gut metagenome	PRJNA471730	41	
metagenome	PRJNA691897	41	
metagenome	PRJEB21076	41	
metagenome	PRJNA675135	40	
metagenome	PRJNA687536	40	
metagenome	PRJEB44766	40	
gut metagenome	PRJNA722397	40	
metagenome	PRJEB20456	39	
gut metagenome	PRJNA729051	39	
metagenome	PRJEB18265	39	
gut metagenome	PRJNA1088414	38	
metagenome	PRJNA922352	38	
metagenome	PRJEB38650	37	
gut metagenome	PRJNA683158	37	
manure metagenome	PRJNA662623	36	pig-associated
gut metagenome	PRJNA942254	36	
gut metagenome	PRJNA718160	36	
manure metagenome	PRJNA533779	35	
gut metagenome	PRJEB21793	35	
metagenome	PRJNA1047028	35	
feces metagenome	PRJNA593263	34	human
feces metagenome	PRJNA983076	34	human
gut metagenome	PRJNA862629	34	
metagenome	PRJNA732239	34	
feces metagenome	PRJNA812583	33	human
gut metagenome	PRJNA1167935	33	
gut metagenome	PRJNA1176874	33	
metagenome	PRJNA1032163	33	
feces metagenome	PRJNA595610	30	other
feces metagenome	PRJNA640717	30	pig-associated
gut metagenome	PRJNA1032029	30	
metagenome	PRJNA900227	30	
metagenome	PRJEB15296	29	
metagenome	PRJEB40824	29	
gut metagenome	PRJNA436562	28	
gut metagenome	PRJNA392516	28	
gut metagenome	PRJEB1391	28	
gut metagenome	PRJEB29152	28	
feces metagenome	PRJNA1028770	27	human
metagenome	PRJNA677897	27	pig-associated
gut metagenome	PRJEB31009	27	
gut metagenome	PRJNA695539	27	
feces metagenome	PRJNA946412	26	human
gut metagenome	PRJNA436633	26	
gut metagenome	PRJEB38606	26	
gut metagenome	PRJNA1067375	26	
gut metagenome	PRJNA892774	26	
gut metagenome	PRJNA955400	25	
gut metagenome	PRJNA827108	25	
gut metagenome	PRJNA758898	25	
gut metagenome	PRJNA1073739	25	
feces metagenome	PRJNA529230	24	human
metagenome	PRJNA884688	24	
gut metagenome	PRJNA940850	24	
metagenome	PRJNA793838	24	
gut metagenome	PRJNA906124	24	
gut metagenome	PRJNA964705	24	
metagenome	PRJEB57214	24	
metagenome	PRJEB21624	24	
feces metagenome	PRJNA386422	23	human
gut metagenome	PRJNA1032714	23	
feces metagenome	PRJNA821272	23	
feces metagenome	PRJNA1092107	22	other
metagenome	PRJNA737178	22	
gut metagenome	PRJNA888226	21	
metagenome	PRJNA807808	21	
gut metagenome	PRJNA303107	21	
gut metagenome	PRJNA331138	21	
gut metagenome	PRJNA533038	21	
metagenome	PRJNA1063243	21	
gut metagenome	PRJEB61039	21	
gut metagenome	PRJNA430956	21	
gut metagenome	PRJNA237795	21	
feces metagenome	PRJEB42464	20	other
metagenome	PRJEB39861	20	
gut metagenome	PRJNA1166717	20	
metagenome	PRJNA961982	20	
metagenome	PRJNA646650	20	
gut metagenome	PRJNA779845	20	
gut metagenome	PRJNA803517	20	
feces metagenome	PRJNA861020	19	human
gut metagenome	PRJNA803065	19	
gut metagenome	PRJNA725613	19	
metagenome	PRJEB36405	19	
metagenome	PRJNA728888	19	
gut metagenome	PRJNA565268	18	
gut metagenome	PRJNA588263	18	
metagenome	PRJEB23207	18	
feces metagenome	PRJNA1135953	17	human
gut metagenome	PRJNA779578	17	
metagenome	PRJNA981221	17	
gut metagenome	PRJNA1015378	16	pig-associated
metagenome	PRJNA743541	16	
feces metagenome	PRJNA777422	16	
metagenome	PRJEB18679	16	
metagenome	PRJNA743357	16	
metagenome	PRJEB48101	16	
metagenome	PRJEB10064	16	
feces metagenome	PRJNA986525	16	
